Wall Time (ms),CPU Time (ms),Comparisons,Swaps
26.641100004781038,31.25,390466,385467
26.402899995446205,31.25,392083,387084
27.46639999531908,31.25,398705,393706
27.858400004333816,15.625,385600,380601
27.762099998653866,31.25,385799,380800
28.001200000289828,31.25,399026,394027
31.01320000132546,31.25,389668,384669
30.305399995995685,31.25,398729,393730
27.310500001476612,31.25,385189,380190
28.833600001235027,31.25,403368,398369
28.97089999896707,15.625,401768,396769
28.153999999631196,31.25,389989,384990
28.807800001231954,31.25,404433,399434
24.777099999482743,31.25,399013,394014
29.599200002849102,31.25,389327,384328
28.27899999829242,15.625,400852,395853
30.505900002026465,31.25,411942,406943
27.788999999756925,31.25,400434,395435
24.272099995869212,31.25,392380,387381
27.70040000177687,15.625,400333,395334
25.50169999449281,15.625,386336,381337
29.352300000027753,31.25,397828,392829
32.681799995771144,31.25,391039,386040
28.14329999819165,31.25,390525,385526
28.248400005395524,31.25,400945,395946
29.397999998764135,31.25,393582,388583
30.639200005680323,31.25,413152,408153
30.373200002941303,31.25,402009,397010
29.584099997009616,31.25,402006,397007
31.284500000765547,31.25,405110,400111
28.771500001312234,15.625,395528,390529
27.5169000015012,31.25,398485,393486
25.346099995658733,31.25,382351,377352
26.035000002593733,31.25,396066,391067
28.700800001388416,15.625,394348,389349
25.46759999677306,31.25,388886,383887
29.407000001810957,31.25,399890,394891
30.27709999878425,31.25,387154,382155
26.80289999989327,31.25,397303,392304
29.073800003970973,31.25,407817,402818
29.165699997975025,15.625,394932,389933
27.813199994852766,31.25,407841,402842
27.640400003292598,31.25,385915,380916
28.147400000307243,31.25,396696,391697
27.166600004420616,31.25,401131,396132
29.832400003215298,31.25,400374,395375
28.89139999751933,15.625,398446,393447
25.7528000001912,31.25,372170,367171
28.829200004111044,31.25,394922,389923
26.358200004324317,31.25,390520,385521
28.794600002584048,15.625,396219,391220
27.092100004665554,31.25,404538,399539
27.208000006794464,31.25,389634,384635
27.64469999965513,31.25,394104,389105
28.19879999879049,31.25,388528,383529
27.205200000025798,15.625,391438,386439
27.733499999158084,31.25,396262,391263
26.715499996498693,31.25,384932,379933
28.493099998740945,31.25,405968,400969
29.47830000630347,31.25,393742,388743
26.14779999566963,15.625,385675,380676
27.479799995489884,31.25,385186,380187
32.25570000358857,31.25,402889,397890
31.336000000010245,31.25,391674,386675
28.761300003679935,31.25,394942,389943
31.57709999504732,31.25,386987,381988
26.81200000370154,31.25,388431,383432
29.871899998397566,31.25,387686,382687
31.36800000356743,15.625,396400,391401
34.71030000218889,31.25,390903,385904
33.334400002786424,31.25,384213,379214
31.543400000373367,31.25,401223,396224
28.896700001496356,31.25,403728,398729
27.980300001217984,31.25,392250,387251
29.32419999706326,31.25,391816,386817
29.873500003304798,31.25,391739,386740
31.66869999404298,31.25,397006,392007
30.709399994520936,31.25,402189,397190
27.380799998354632,15.625,397037,392038
25.519300004816614,31.25,382978,377979
27.580100002523977,31.25,397597,392598
28.899700002511963,31.25,404257,399258
27.464599996164907,31.25,394941,389942
28.57219999714289,15.625,389545,384546
28.793499994208105,31.25,404990,399991
27.572600003622938,31.25,382372,377373
28.278300000238232,31.25,400965,395966
28.601199999684468,31.25,401853,396854
29.550599996582605,31.25,394327,389328
29.026900003373157,15.625,393610,388611
28.91259999887552,15.625,389798,384799
27.731399997719564,31.25,400648,395649
36.608099995646626,31.25,402900,397901
29.25449999747798,15.625,391180,386181
27.11719999933848,31.25,380353,375354
28.791299999284092,31.25,404790,399791
29.519899995648302,31.25,396521,391522
25.821700000960846,31.25,400567,395568
29.099899998982437,15.625,396212,391213
29.262600000947714,31.25,404389,399390
